,to_user,brand,positive_pst,n_adj,total_pst,mean_like_cnt,beta,p,PP_scr
0,100000090674282,nan,5,1.505149978319906,5,1135.84,0.12021857923497267,1.0,4.6288339533144205
1,100000197527970,nan,1,0.6020599913279624,2,1167.301724137931,0.5191256830601093,0.5,2.1849097526253414
2,100000197527970,similac,0,0.3010299956639812,1,1167.301724137931,0.5191256830601093,0.0,0.3010299956639812
3,100000250783293,enfa,33,24.792649828361526,90,62.64732142857143,0.8797814207650273,0.36666666666666664,25.695510375005966
4,100000250783293,similac,38,25.218618560633807,92,62.64732142857143,0.8797814207650273,0.41304347826086957,26.24333133706676
5,100000322372457,nan,2,0.9030899869919435,3,930.6470588235294,0.17486338797814208,0.6666666666666666,2.918902180809968
6,100000359650093,enfa,11,4.089481202687437,15,5.088652482269503,0.7650273224043715,0.7333333333333333,5.032385561995499
7,100000359650093,similac,33,11.416506143517747,42,5.088652482269503,0.7650273224043715,0.7857142857142857,12.522991095239213
8,100000641426063,enfa,0,0.3010299956639812,1,957.6084337349398,0.5573770491803278,0.0,0.3010299956639812
9,100000641426063,nan,2,0.6020599913279624,2,957.6084337349398,0.5573770491803278,1.0,3.774531505700875
10,100000761988848,nan,2,0.9030899869919435,3,961.0224719101124,0.37158469945355194,0.6666666666666666,2.969041535651579
11,100000941004296,nan,3,1.2041199826559248,4,404.11538461538464,0.4644808743169399,0.75,3.2994437313063205
12,100000941004296,similac,0,0.3010299956639812,1,404.11538461538464,0.4644808743169399,0.0,0.3010299956639812
13,100001034079001,optimum,1,0.3010299956639812,1,1529.1294964028777,0.5300546448087432,1.0,3.5952374138169083
14,100001261711300,enfa,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
15,100001261711300,optimum,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
16,100001261711300,similac,0,0.3010299956639812,1,1034.394,0.8633879781420765,0.0,0.3010299956639812
17,100001650992984,optimum,0,0.3010299956639812,1,2470.806629834254,0.6612021857923497,0.0,0.3010299956639812
18,100001650992984,similac,3,1.2041199826559248,4,2470.806629834254,0.6612021857923497,0.75,3.947662067228621
19,100002708846347,enfa,0,0.3010299956639812,1,1301.9375,0.46994535519125685,0.0,0.3010299956639812
20,100002708846347,nan,1,0.6020599913279624,2,1301.9375,0.46994535519125685,0.5,2.2039450854557012
21,100002879804954,enfa,3,0.7781512503836436,3,27.734939759036145,0.43169398907103823,1.0,2.4258567306980607
22,100002947761648,nan,0,0.3010299956639812,1,2316.9936440677966,0.9508196721311475,0.0,0.3010299956639812
